"CONTEXT", "ID", "TEXT"
"BulletinInnerFilerTut","Passport Confiscation","Confiscation de passeport"
"BulletinInnerFilerTut","Verify ALTAN resident on id.","Identifier sur l'ID un résident d'ALTAN."
"BulletinInnerFilerTut","Drop passport in confiscation drawer.","Déposer le passeport dans le tiroir de confiscation."
"BulletinInnerFilerTut","If arresting, confiscate before detaining.","En cas d'arrestation, confisquer avant de placer en détention."
"BulletinInnerCriminals","Ministry of Justice","Ministère de la Justice"
"BulletinInnerCriminals","WANTED CRIMINALS","CRIMINELS RECHERCHÉS"
"BulletinInnerNews","NEWS","INFOS"
"BulletinPagesNote","CHECK ALL<br>PAGES","LISEZ TOUTES<br>LES PAGES"
"CitationInner","M.O.A. CITATION","RÉPRIMANDE DU M.D.A."
"DiplomaticAuthInner","Diplomatic<br>Authorization","Passe<br>Diplomatique"
"DiplomaticAuthInner","This document authorizes named agent as a diplomatic entity of a Council of Nations member state.","Authentifie l'agent susnommé en tant qu'entité diplomatique d'un état membre du Conseil des Nations."
"DiplomaticAuthInner","AGENT","AGENT"
"DiplomaticAuthInner","PASSPORT","PASSEPORT"
"DiplomaticAuthInner","Unconditional access to all named Council of Nations member states must be granted upon presentation.","L'accès inconditionnel aux états membres du Conseil des Nations<br>ci-après se doit d'être accordé."
"DiplomaticAuthInner","This document has no expiry.","Validité permanente."
"DiplomaticAuthInner","COUNCIL OF NATIONS - SEVEN MEMBER FORUM","CONSEIL DES NATIONS - FORUM DES 7 MEMBRES"
"EntryPermitInner","ARSTOTZKA","ARSTOTZKA"
"EntryPermitInner","Entry Permit","Permis d'entrée"
"EntryPermitInner","Conditional entry to the sovereign nation of Arstotzka is hereby granted to","L'entrée conditionnelle sur<br>le territoire souverain de l'Arstotzka est accordée à"
"EntryPermitInner","bearing passport number","porteur du passeport numéro"
"EntryPermitInner","Purpose","Motif"
"EntryPermitInner","Duration","Durée"
"EntryPermitInner","Enter by","Expire au"
"EntryPermitInner","Ministry of Admission","Ministère des Admissions"
"EntryTicketInner","Arstotzka","Arstotzka"
"EntryTicketInner","ENTRY TICKET","BON D'ENTRÉE"
"EntryTicketInner","VALID ON","VALIDE LE"
"EzicNoteInnerOpen","READ QUICKLY","À LIRE RAPIDEMENT PUIS"
"EzicNoteInnerOpen","RETURN TO MESSENGER","À RESTITUER AU MESSAGER"
"FamilyPhotoInner","HANG ON WALL","À ACCROCHER AU MUR"
"FingerprintsInner","GIVE THIS PAPER TO APPLICANT","À DONNER AU SUJET"
"ForgeryFlyerInnerFront","NEED FORGED<br>OBRISTAN DOCS?","BESOIN DE FAUX<br>PAPIERS OBRISTONS ?"
"ForgeryFlyerInnerFront","""It looks so real!""","""Ils font trop vrai !"""
"ForgeryFlyerInnerFront","""Approved for entry!""","""Entrée approuvée !"""
"ForgeryFlyerInnerFront","Fair rates!","Tarifs équitables !"
"ForgeryFlyerInnerFront","No questions asked!","Aucune question !"
"ForgeryFlyerInnerFront","Fast turnaround!","Délivrés rapidement !"
"ForgeryFlyerInnerFront","CONDITIONS ON BACK","CONDITIONS AU DOS"
"ForgeryFlyerInnerBack","PRICING (EACH)","PRIX (PIÈCE)"
"ForgeryFlyerInnerBack","Passport *","Passeport *"
"ForgeryFlyerInnerBack","Entry Ticket","Bon d'entrée"
"ForgeryFlyerInnerBack","*<br>","<br>*"
"ForgeryFlyerInnerBack","Client must provide existing Obristan passport to be modified with new info","Le client doit fournir un passeport obriston dont les informations seront modifiées"
"ForgeryFlyerInnerBack","Service at border Arstotzka/Obristan","Service à la frontière Arstotzka/Obristan"
"ForgeryFlyerInnerBack","Ask for Timofei Wee","Demandez Timofei Wee"
"GymFlyerInner","Underweight?Weak?Tired?","Maigrichon?Faible?Fatigué?"
"GymFlyerInner","JOIN BEST GYM!","PRO DE&nbsp;LA GYM!"
"GymFlyerInner","GET BIG TOWN","MUSCLOTZKA"
"GymFlyerInner","East Grestin","Grestin Est"
"HintMissingInner","THIS ENTRANT HAS NO DOCUMENTS","CET ENTRANT N'A PAS DE PAPIERS"
"HintMissingInner","To proceed, use INSPECT mode to interrogate.","Pour continuer, passez en mode INSPECTION pour l'interroger."
"HintMissingInner","Review page 2 of today's bulletin for full instructions.","Consultez la page 2 du bulletin du jour pour des instructions détaillées."
"IdCardInner","ARSTOTZKA IDENTITY CARD","CARTE D'IDENTITE ARSTOTZKE"
"IdCardInner","DOB","NAIS"
"IdCardInner","HT.","TAI"
"IdCardInner","WT.","PDS"
"IdentityRecordInner","M.O.A. IDENTITY RECORD","ARCHIVES D'IDENTITÉ DU M.D.A."
"IdentityRecordInner","NAME:","NOM :"
"IdentityRecordInner","ALIAS:","ALIAS :"
"IdentityRecordInner","Applicant's fingerprints and claimed name/alias must match this record.","Les empreintes et le nom/alias doivent correspondre à ces données."
"IdSupplementInner","IDENTITY<br>SUPPLEMENT","FICHE<br>D'IDENTITÉ"
"IdSupplementInner","HT","TAI"
"IdSupplementInner","WT","PDS"
"IdSupplementInner","DESCRIPTION","DESCRIPTION"
"IdSupplementInner","THUMB","POUCE"
"IdSupplementInner","Keep on person","À conserver"
"IdSupplementInner","EXP.","EXP."
"LocketInnerOpen","To Sergiu from your Elisa","Pour mon Sergiu... Elisa"
"LocketInnerOpen","I Love You Always","Tu es mon amour"
"LoveSongInner1","YOU","Toi"
"LoveSongInner1","YOU ARE HOT LIKE FIRE","Tu mE MEtS LE FEu"
"LoveSongInner2","you","TOi"
"LoveSongInner2","OBJECT OF DESIRE","oBJET DE MON DÉSIR"
"LoveSongInner3","YOU<br>(AGAIN)","Toi<br>ENCoRE!"
"LoveSongInner3","WRAP MY HEART IN WIRE","Tu AS CAPTuRé<br>MoN COEuR"
"LoveSongInner4","ApPROVED","ApPROUVÉ"
"LoveSongInner4","APPROVE MY VISA","APPRouVE MON VISA"
"tweak-passport-field-padding-left","2px","2px"
"PassportInnerAntegria","ENTRY VISA","VISA D'ENTRÉE"
"PassportInnerAntegria","DOB.","NAIS"
"PassportInnerAntegria","SEX","SEX."
"PassportInnerAntegria","ISS.","PRF"
"PassportInnerAntegria","EXP.","EXP."
"PassportInnerAntegria","ANTEGRIA","ANTÉGRIE"
"tweak-passport-arstotzka-nation","16px","16px"
"PassportInnerArstotzka","ENTRY VISA","VISA D'ENTRÉE"
"PassportInnerArstotzka","DOB.","NAIS"
"PassportInnerArstotzka","SEX","SEX."
"PassportInnerArstotzka","ISS.","PRF"
"PassportInnerArstotzka","EXP.","EXP."
"PassportInnerArstotzka","ARSTOTZKA","ARSTOTZKA"
"PassportInnerImpor","ENTRY VISA","VISA D'ENTRÉE"
"PassportInnerImpor","DOB.","NAIS"
"PassportInnerImpor","SEX","SEX."
"PassportInnerImpor","ISS.","PRF"
"PassportInnerImpor","EXP.","EXP."
"PassportInnerImpor","IMPOR","IMPOR"
"PassportInnerKolechia","ENTRY VISA","VISA D'ENTRÉE"
"PassportInnerKolechia","DOB.","NAIS"
"PassportInnerKolechia","SEX","SEX."
"PassportInnerKolechia","ISS.","PRF"
"PassportInnerKolechia","EXP.","EXP."
"PassportInnerKolechia","KOLECHIA","KOLECHIE"
"PassportInnerObristan","ENTRY VISA","VISA D'ENTRÉE"
"PassportInnerObristan","DOB.","NAIS"
"PassportInnerObristan","SEX","SEX."
"PassportInnerObristan","ISS.","PRF"
"PassportInnerObristan","EXP.","EXP."
"PassportInnerObristan","OBRISTAN","OBRISTAN"
"PassportInnerRepublia","ENTRY VISA","VISA D'ENTRÉE"
"PassportInnerRepublia","DOB.","NAIS"
"PassportInnerRepublia","SEX","SEX."
"PassportInnerRepublia","ISS.","PRF"
"PassportInnerRepublia","EXP.","EXP."
"PassportInnerRepublia","REPUBLIA","RÉPUBLIE"
"PassportInnerUnitedFed","ENTRY VISA","VISA D'ENTRÉE"
"PassportInnerUnitedFed","DOB.","NAIS"
"PassportInnerUnitedFed","SEX","SEX."
"PassportInnerUnitedFed","ISS.","PRF"
"PassportInnerUnitedFed","EXP.","EXP."
"PassportInnerUnitedFed","UNITED FEDERATION","FÉDÉRATION UNIE"
"PlaqueOneInner","Ministry of Admission","Ministère des Admissions"
"PlaqueOneInner","RECOGNITION","EN RECONNAISSANCE"
"PlaqueOneInner","FOR","POUR"
"PlaqueOneInner","HANG ON WALL","À ACCROCHER AU MUR"
"PlaqueTwoInner","Ministry of Admission","Ministère des Admissions"
"PlaqueTwoInner","RECOGNITION","EN RECONNAISSANCE"
"PlaqueTwoInner","FOR","POUR"
"PlaqueTwoInner","HANG ON WALL","À ACCROCHER AU MUR"
"PoisonInnerBack","OPEN","OUVRIR"
"PoisonInnerOpen1","DO NOT TOUCH POWDER","NE PAS TOUCHER<br>LA POUDRE"
"PoisonInnerOpen1","CLOSE","FERMER"
"PoisonInnerOpen2","ALIGN POWDER OVER PASSPORT","ALIGNER LA POUDRE SUR LE PASSEPORT"
"PoisonInnerOpen2","PUSH HARD TO AFFIX","APPUYER FORT POUR APPLIQUER"
"PoisonInnerOpen2","CLOSE","FERMER"
"PoliceBadgeInner","MINISTRY OF INFORMATION","MINISTÈRE - INFORMATION"
"PoliceBadgeInner","Office of Investigation","Bureau des enquêtes"
"PoliceBadgeInner","East Grestin Division","Division de Grestin Est"
"PoliceBadgeInner","Special Investigator","Enquêteur spécial"
"PoliceBadgeInner","MOI","MDI"
"PressPassInner","INTERNATIONAL","CARTE DE"
"PressPassInner","PRESS","PRESSE"
"PressPassInner","IDENTIFICATION","INTERNATIONALE"
"RuleDiploAccess","AUTHORIZATION MUST GRANT ACCESS<br> TO ARSTOTZKA","LE PASSE DOIT ACCORDER L'ACCÈS<br>EN ARSTOTZKA"
"RuleIssuingCity","PASSPORT <span>ISS.</span> FIELD MUST BE VALID","LE CHAMP <span>PRF</span><br>DOIT ÊTRE VALIDE"
"RuleSealRequired","DOCUMENT MUST<br>HAVE A SEAL","LE DOCUMENT DOIT COMPORTER UN SCEAU"
"RulesInnerHome","Arstotzkan","Arstotzka"
"RulesInnerHome","Ministry<span>of</span>Admission","Ministère<span>des</span>Admissions"
"RulesInnerHome","RULES","RÈGLEMENT"
"RulesInnerHome","&amp;","&amp;"
"RulesInnerHome","REGULATIONS","CONSIGNES"
"RulesInnerHome","for Inspectors","pour les Inspecteurs"
"RulesInnerHome","CONTENTS","TABLE"
"RulesInnerHome","PROPERTY OF","PROPRI<span style=""margin-left:-2px"">&nbsp;</span>ÉTÉ DU"
"RulesInnerHome","M.O.A","M.D.A."
"RulesInnerBasic","RULES","RÈGLEMENT"
"RulesInnerRegion","DIPLOMATIC SEALS","SCEAUX DIPLOMATIQUES"
"RulesInnerRegion","PASSPORT","PASSEPORT"
"RulesInnerRegion","ISSUING CITIES","PRÉFECTURES D'ÉMISSION"
"RulesInnerRegionArstotzka","DISTRICTS","DISTRICTS"
"RulesInnerRegionArstotzka","PASSPORT","PASSEPORT"
"RulesInnerRegionArstotzka","ISSUING CITIES","PRÉFECTURES D'ÉMISSION"
"RulesInnerBooth","INSPECTOR'S BOOTH","BOX D'INSPECTEUR"
"RulesInnerBooth","Shutter","Volet"
"RulesInnerBooth","Counter","Comptoir"
"RulesInnerBooth","Rule Book<br>Audio Trans.<br>Bulletin<br>Time &amp; Date","Règlement<br>Transcription<br>Bulletin<br>Heure &amp; date"
"RulesInnerBooth","UPGRADES","AMÉLIORATIONS"
"RulesInnerBooth","NO UPGRADES<br>INSTALLED","AUCUNE AMÉLIORATION INSTALLÉE"
"RulesInnerBooth2","INSPECTOR'S BOOTH","BOX D'INSPECTEUR"
"RulesInnerBooth2","Shutter","Volet"
"RulesInnerBooth2","Counter","Comptoir"
"RulesInnerBooth2","Audio Trans.<br>Rule Book<br>Weight","Transcription<br>
Règlement<br>
Poids"
"RulesInnerBooth2","Bulletin<br>Time &amp; Date","Bulletin<br>Heure &amp; date"
"RulesInnerBooth2","UPGRADES","AMÉLIORATIONS"
"RulesInnerBooth2","NO UPGRADES<br>INSTALLED","AUCUNE AMÉLIORATION INSTALLÉE"
"RulesInnerDocs","OFFICIALLY RECOGNIZED","IDENTIFICATION DES"
"RulesInnerDocs","DOCUMENTS","DOCUMENTS"
"RulesInnerDocs","CONTENTS","TABLE"
"RulesInnerEntryPermit","ENTRY PERMIT","PERMIS D'ENTRÉE"
"RulesInnerEntryPermit","VALID SEALS","SCEAUX VALIDES"
"RulesInnerIdCard","ARSTOTZKAN<br>ID CARD","CARTE D'ID.<br>ARSTOTZKE"
"RulesInnerIdCard","ISSUED TO ALL ARSTOTZKAN CITIZENS","DÉLIVRÉE À TOUS LES CITOYENS ARSTOTZKES"
"RulesInnerIdCard","DISTRICTS","DISTRICTS"
"RulesInnerIdSupplement","IDENTITY<br>SUPPLEMENT","FICHE<br>D'IDENTITÉ"
"RulesInnerIdSupplement","ISSUED TO ALL QUALIFIED FOREIGNERS","DÉLIVRÉE À TOUS LES ÉTRANGERS QUALIFIÉS"
"RulesInnerIdSupplement","FOR VERIFICATION OF FOREIGNER'S PHYSICAL APPEARANCE","POUR LA VÉRIFICATION DU PHYSIQUE D'UN ÉTRANGER"
"RulesInnerIdSupplement","VERIFY THUMBPRINT ONLY WHEN FINGERPRINT RECORD IS AVAILABLE","NE VÉRIFIEZ LES EMPREINTES QUE LORSQUE VOUS RECEVEZ CELLES DES ARCHIVES"
"RulesInnerIdSupplement","THIS IS A SHORT-ISSUE DOCUMENT - VERIFY EXPIRATION CAREFULLY","DOCUMENT À COURT TERME - VÉRIFIEZ SOIGNEUSEMENT LA DATE D'EXPIRATION"
"RulesInnerAccessPermit","ACCESS PERMIT","PERMIS D'ACCÈS"
"RulesInnerAccessPermit","VALID SEALS","SCEAUX VALIDES"
"RulesInnerAccessPermit","THIS DOCUMENT REPLACES ENTRY PERMIT AND IDENTITY SUPPLEMENT","CE DOCUMENT REMPLACE<br>LE PERMIS D'ENTRÉE ET<br>LA FICHE D'IDENTITÉ"
"RulesInnerWorkPermit","WORK PASS","AUT. DE TRAVAIL"
"RulesInnerWorkPermit","ISSUED TO ALL QUALIFIED FOREIGN LABOR","DÉLIVRÉE À TOUS LES TRAVAILLEURS ÉTRANGERS QUALIFIÉS"
"RulesInnerWorkPermit","VALID SEALS","SCEAUX VALIDES"
"RulesInnerDiplomaticAuth","DIPLOMATIC","PASSE DIPLOMATIQUE"
"RulesInnerDiplomaticAuth","AUTHORIZATION","<br>"
"RulesInnerDiplomaticAuth","VALIDATE SEAL WITH COUNTRY PAGE","VÉRIFIEZ LE SCEAU À<br>L'AIDE DE LA PAGE DU PAYS"
"RulesInnerAsylumGrant","GRANT OF<br>ASYLUM","OCTROI<br>D'ASILE"
"RulesInnerAsylumGrant","VALID SEALS","SCEAUX VALIDES"
"RulesInnerAsylumGrant","ALWAYS VERIFY FINGERPRINTS","TOUJOURS VÉRIFIER LES EMPREINTES DIGITALES"
"RulesInnerVaccineCert","VACCINE CERTIFICATE","CERTIFICAT DE VACCINATION"
"RulesInnerVaccineCert","MINISTRY","MINISTÈRE"
"RulesInnerVaccineCert","OF","DE LA"
"RulesInnerVaccineCert","HEALTH","SANTÉ"
"RulesInnerVaccineCert","REGULATION DOCUMENT","DOCUMENT RÉGLEMENTAIRE"
"RulesInnerVaccineCert","POLIO VACCINATION REQUIRED FOR ALL ENTRANTS","VACCINATION CONTRE LA POLIO OBLIGATOIRE POUR TOUT ENTRANT"
"RulesInnerVaccineCert","NO EXCEPTIONS","SANS EXCEPTION"
"RulesInnerConfiscation","PASSPORT CONFISCATION","CONFISCATION<br>DE PASSEPORT"
"RulesInnerConfiscation","DROP PASSPORT IN CONFISCATION DRAWER","DÉPOSER LE PASSEPORT DANS LE TIROIR DE CONFISCATION"
"RulesInnerConfiscation","POLICY","POLITIQUE"
"RulesInnerConfiscation","PASSPORT MUST BE CONFISCATED BEFORE DETAINING","LE PASSEPORT DOIT ÊTRE CONFISQUÉ AVANT UN PLACEMENT EN DÉTENTION"
"RulesInnerConfiscation","MOI","MDI"
"RulesInnerLast","PROPERTY OF","PROPRIÉTÉ DU"
"RulesInnerLast","M.O.A.","M.D.A."
"RulesInnerLast","GLORY TO ARSTOTZKA","GLOIRE À L'ARSTOTZKA"
"RulesInnerLast","Arstotzkan","Ministère des Admissions"
"RulesInnerLast","Ministry of Admission","en Arstotzka"
"RulesInnerLast","Rules &amp; Regulations","Règlement &amp; consignes"
"RulesInnerLast","for Inspectors","pour les Inspecteurs"
"RulesInnerLast","1982-1983 Edition","Édition 1982-1983"
"RulesInnerLast","DO NOT DISTRIBUTE UNDER SEVERE<br>PENALTY","NE PAS DISTRIBUER SOUS PEINE DE LOURDE CONDAMNATION"
"RulesTabConfL","CONF.","CONF."
"RulesTabConfR","CONF.","CONF."
"RulesTabDocsL","DOCS","DOCS"
"RulesTabDocsR","DOCS","DOCS"
"RulesTabMapL","MAP","CARTE"
"RulesTabMapR","MAP","CARTE"
"RulesTabRulesL","RULES","RÈGLES"
"RulesTabRulesR","RULES","RÈGLES"
"RulesUpgrade0","TOGGLE INSPECT","RACC. INSPECTION"
"RulesUpgrade0","SPACE","ESPACE"
"RulesUpgrade1","TOGGLE STAMP BAR","RACCOURCI TAMPONS"
"RulesUpgrade1","TAB","TAB"
"RulesUpgrade2","RULEBOOK SHORTCUTS","SIGNETS DU RÈGLEMENT"
"RulesUpgrade3","QUICK INSPECT","INSPECTION RAPIDE"
"RulesUpgrade3","DOUBLE-CLICK","DOUBLE-CLIC"
"RulesUpgrade4","MULTITOUCH","MULTITOUCH"
"SeizureSlipInner","Arstotzka Ministry of Admission","Ministère des Admissions"
"SeizureSlipInner","PASSPORT SEIZURE SLIP","REÇU DE SAISIE DE PASSEPORT"
"SeizureSlipInner","ENTRY VISA","VISA D'ENTRÉE"
"SeizureSlipInner","Your passport has been seized.","Votre passeport a été saisi."
"SeizureSlipInner","Contact 1509-6103 for redress.","Contactez le 1509-6103 pour restitution."
"SpyDocsInnerBack","Mating Habits of Lesser Kolechian Waterfowl","Les habitudes reproductives des<br>colverts nains de Koléchie"
"SpyDocsInnerBack","A FULL REPORT","UN RAPPORT EXHAUSTIF"
"SpyDocsInnerBack","Ministry of Information","Ministère de l'Information"
"TranscriptInner","AUDIO TRANSCRIPT","TRANSCRIPTION AUDIO"
"VaccineCertInner","Certificate<span>of</span>Vaccination","Certificat<span>de</span>vaccination"
"VaccineCertInner","ID#","No ID"
"VaccineCertInner","DATE","DATE"
"VaccineCertInner","VACCINE","VACCIN"
"VaccineCertInner","Vax valid for 3 years","Vaccins valides pour 3 ans"
"VisaSlipInner","TEMPORARY VISA SLIP","COUPON DE VISA TEMPORAIRE"
"VisaSlipInner","ENTRY VISA","VISA D'ENTRÉE"
"VisaSlipInner","TO BE USED FOR DENIALS ONLY","À N'UTILISER QUE<br>POUR LES REFUS"
"WorkPermitInner","Ministry of Labor","Ministère du Travail"
"WorkPermitInner","Work Pass","Autorisation de travail"
"WorkPermitInner","This pass grants its holder the right to work in a specific field for a limited time.","Accorde au porteur un droit de travail dans le secteur spécifié pendant une durée limitée."
"WorkPermitInner","HOLDER","PORTEUR"
"WorkPermitInner","FIELD","SECTEUR"
"WorkPermitInner","UNTIL","TERME"
"WorkPermitInner","Keep this pass with you at all times.","À conserver sur vous en permanence"
"EndNews","Kolechian Consensus Reached Over Grestin","Accord trouvé avec la Koléchie sur le statut de Grestin"
"ApartmentClass","CLASS","CLASSE"
"DetainButton","DETAIN","ARRÊTER"
"FingerprintButton","FINGERPRINT","EMPREINTES"
"SearchButton","SEARCH","FOUILLER"
"EmblemsMOA","M.O.A","M D A"
"EmblemsMOA","M.O.L","M D T"
"EmblemsMOL","M.O.L","M D T"
"Filer","CONFISCATED DOCUMENTS","DOCUMENTS CONFISQUÉS"
"Filer","PROPERTY OF","PROPRIÉTÉ DU"
"Filer","M.O.A.","M.D.A."
"GiveIcon","GIVE","DONNER"
"LoadButtonNew","NEW","NOUVEAU"
"LoadDay","DAY","JOUR"
"LoadDrag","DRAG TO SCROLL","FAIRE GLISSER"
"News","The Truth of Arstotzka","La Voix de l'Arstotzka"
"News","No Charge","Gratuit"
"ReasonButton","REASON","RAISON"
"RifleKill","KILL","BALLES"
"RifleTranq","TRANQ","TRANQ."
"StampBarMid","ALIGN VISA BENEATH STAMP","ALIGNER LE VISA SOUS LE TAMPON"
"Upgrades","SPACE","ESP."
"Upgrades","TAB","TAB"
"image:ArskickersInner.png","capture/ArskickersInner.png","capture/ArskickersInner.png"
"ArskickersInner","HANG ON WALL","À ACCROCHER AU MUR"
"image:BrothelFlyerInner.png","capture/BrothelFlyerInner.png","capture/BrothelFlyerInner.png"
"BrothelFlyerInner","East Grestin","Grestin Est"
"BrothelFlyerInner","FOR ALL YOUR FANTASIES","POUR TOUS VOS FANTASMES"
"image:PezpertInner.png","capture/PezpertInner.png","final/fr/PezpertInner.png"
"PezpertInner","STAMP HERE","TAMPON ICI"
"image:SonDrawingInner.png","capture/SonDrawingInner.png","final/fr/SonDrawingInner.png"
"SonDrawingInner","hanG on wAll","A crOchÉ sU le Mure"
"image:SonDrawingOuter.png","capture/SonDrawingOuter.png","final/fr/SonDrawingOuter.png"
"image:SonDrawingMount.png","capture/SonDrawingMount.png","final/fr/SonDrawingMount.png"
"image:VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png","final/fr/VictimPhotoInnerBack.png"
"image:Emotions.png","export/Emotions.png","final/fr/Emotions.png"
"image:LoadButtonLatest.png","export/LoadButtonLatest.png","final/fr/LoadButtonLatest.png"
"image:InkApproved.png","export/InkApproved.png","final/fr/InkApproved.png"
"image:InkDenied.png","export/InkDenied.png","final/fr/InkDenied.png"
"image:StampBotApproved.png","export/StampBotApproved.png","final/fr/StampBotApproved.png"
"image:StampBotDenied.png","export/StampBotDenied.png","final/fr/StampBotDenied.png"
"image:ReasonStampTop.png","export/ReasonStampTop.png","final/fr/ReasonStampTop.png"
"image:InkReason.png","export/InkReason.png","final/fr/InkReason.png"
"image:Arstotzka.png","export/Arstotzka.png","export/Arstotzka.png"
"image:Intro1.png","export/Intro1.png","final/fr/Intro1.png"
"image:Obrinspector.png","export/Obrinspector.png","final/fr/Obrinspector.png"
"image:Shutter.png","export/Shutter.png","final/fr/Shutter.png"
"news:RANDOM_WEATHER","The Weather","Météo"
"news:RANDOM_SPORTS","Sports","Sports"
"news:RANDOM_ENTERTAINMENT","Entertainment","Loisirs"
"news:RANDOM_POLITICS","Politics","Politique"
"news:FIRST_DAY","Grestin Border Checkpoint Opens At Last!","Le poste-frontière de Grestin enfin ouvert"
"news:FIRST_DAY","After 6 Long Years. Can the Ministry of Admission Keep Us Safe?","Après 6 ans de guerre, le Ministère des Admissions peut-il assurer notre sécurité ?"
"news:FIRST_DAY","Families To Reunite","Les familles réunifiées"
"news:CHECKPOINT_SUCCESS","Grestin Checkpoint a Success!","Franc succès pour le poste-frontière de Grestin"
